id	label	description	x	y	cluster	weight<Total  link strength>	weight<No. of pub. (2000-2021)>	weight<No. of pub. CBIII>	weight<No. of pub. CBII>	weight<No. of pub. CB>	weight<No. of pub. (2017-2018)>	weight<No. of pub. CBI>	score<Avg. pub. year>	score<Perc. pub. CB>	score<Perc. pub. CBII>	score<Perc. pub. CBIII>	score<Perc. pub. CBI>
40	40	"""<table><tr><td>Micro-level field:</td><td>40</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>soil biology & biochemistry; geoderma; soil & tillage research; soil science society of america journal; plant and soil</td></tr><tr><td>Terms:</td><td>soil organic carbon; soil carbon stock; soil enzyme activity; soil microbial community</td></tr></table>"""	-0.0266	-0.1668	4	828229	34851	1	0	3	4131	2	2012.564	0.0007	0	0.3333	0.6667
41	41	"""<table><tr><td>Micro-level field:</td><td>41</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; wireless personal communications; international journal of distributed sensor networks; sensors; ieee international conference on communications</td></tr><tr><td>Terms:</td><td>mobile sink; wireless multimedia sensor network; heterogeneous wireless sensor network; target tracking; wsns</td></tr></table>"""	0.7744	0.5215	5	257740	34728	0	0	0	4134	0	2012.5867	0	0	0	0
42	42	"""<table><tr><td>Micro-level field:</td><td>42</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>schizophrenia research; psychiatry research; schizophrenia bulletin; psychological medicine; british journal of psychiatry</td></tr><tr><td>Terms:</td><td>auditory hallucination; schizotypy; untreated psychosis; delusion; paranoia</td></tr></table>"""	-0.5145	0.474	2	718754	34691	1	6	7	3578	4	2011.5785	0.002	0.8571	0.1429	0.5714
43	43	"""<table><tr><td>Micro-level field:</td><td>43</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of cardiovascular electrophysiology; europace; pace-pacing and clinical electrophysiology; heart rhythm; journal of interventional cardiac electrophysiology</td></tr><tr><td>Terms:</td><td>pulmonary vein; persistent atrial fibrillation; radiofrequency catheter ablation; atrial fibrillation recurrence; typical atrial flutter</td></tr></table>"""	-0.8999	-0.0113	2	352437	34420	0	1	2	4016	1	2012.3881	0.0005	0.5	0	0.5
44	44	"""<table><tr><td>Micro-level field:</td><td>44</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of virology; aids research and human retroviruses; aids; plos one; virology</td></tr><tr><td>Terms:</td><td>neutralizing antibody; t cell response; immunogenicity; vaccine; epitope</td></tr></table>"""	-0.7513	-0.2145	2	680818	34402	32	14	47	2569	18	2009.6222	0.0183	0.2979	0.6809	0.383
45	45	"""<table><tr><td>Micro-level field:</td><td>45</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>nitric oxide-biology and chemistry; american journal of physiology-heart and circulatory physiology; journal of biological chemistry; european journal of pharmacology; free radical biology and medicine</td></tr><tr><td>Terms:</td><td>tetrahydrobiopterin; inducible nitric oxide synthase; arginase; s nitrosothiol; nitroxyl</td></tr></table>"""	-0.7793	-0.1568	2	893759	34197	4	66	69	1535	9	2007.314	0.045	0.9565	0.058	0.1304
46	46	"""<table><tr><td>Micro-level field:</td><td>46</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of tuberculosis and lung disease; plos one; journal of clinical microbiology; bmc infectious diseases; clinical infectious diseases</td></tr><tr><td>Terms:</td><td>tuberculous meningitis; multidrug resistant tuberculosis; xpert mtb rif; quantiferon tb gold; xpert</td></tr></table>"""	-0.6631	-0.2098	2	281758	33822	11	10	25	3981	10	2012.4894	0.0063	0.4	0.44	0.4
47	47	"""<table><tr><td>Micro-level field:</td><td>47</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>ieee conference on decision and control; proceedings of the american control conference; chinese control conference; ieee transactions on automatic control; automatica</td></tr><tr><td>Terms:</td><td>markovian jump system; uncertain neutral system; transition probability; networked control systems; t s fuzzy system</td></tr></table>"""	0.8362	0.2671	5	294010	33631	0	0	0	3669	0	2011.4444	0	0	0	0
48	48	"""<table><tr><td>Micro-level field:</td><td>48</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>antimicrobial agents and chemotherapy; journal of antimicrobial chemotherapy; international journal of antimicrobial agents; journal of clinical microbiology; microbial drug resistance</td></tr><tr><td>Terms:</td><td>ndm; bla; oxa; kpc; ctx m</td></tr></table>"""	-0.5936	-0.2453	2	497557	33016	52	10	64	5035	16	2014.2951	0.0127	0.1562	0.8125	0.25
49	49	"""<table><tr><td>Micro-level field:</td><td>49</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physics of plasmas; nuclear fusion; plasma physics and controlled fusion; fusion engineering and design; review of scientific instruments</td></tr><tr><td>Terms:</td><td>tokamak plasma; mode; zonal flow; magnetic island; resonant magnetic perturbation</td></tr></table>"""	0.9306	-0.4185	3	70688	32987	0	0	0	3347	0	2010.9686	0	0	0	0
50	50	"""<table><tr><td>Micro-level field:</td><td>50</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of essential oil research; journal of essential oil bearing plants; industrial crops and products; natural product communications; molecules</td></tr><tr><td>Terms:</td><td>carvacrol; thymol; ocimum basilicum l; essential oil content; oregano</td></tr></table>"""	-0.5456	-0.3908	4	761708	32903	18	85	118	4049	34	2012.7569	0.0291	0.7203	0.1525	0.2881
51	51	"""<table><tr><td>Micro-level field:</td><td>51</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; journal of high energy physics; physics letters b; european physical journal c; aip conference proceedings</td></tr><tr><td>Terms:</td><td>top quark; higgs boson; electroweak phase transition; top quark pair production; root s13 tev</td></tr></table>"""	1.2377	-0.2614	3	331141	32826	0	0	0	3359	0	2011.4459	0	0	0	0
52	52	"""<table><tr><td>Micro-level field:</td><td>52</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>vaccine; international journal of cancer; plos one; gynecologic oncology; journal of virology</td></tr><tr><td>Terms:</td><td>cervical cancer; woman; hpv; human papillomavirus; cervical intraepithelial neoplasia</td></tr></table>"""	-0.9348	-0.1959	2	363418	32794	17	9	29	3559	14	2012.0809	0.0081	0.3103	0.5862	0.4828
53	53	"""<table><tr><td>Micro-level field:</td><td>53</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>plos neglected tropical diseases; american journal of tropical medicine and hygiene; journal of virology; plos one; journal of medical entomology</td></tr><tr><td>Terms:</td><td>zika virus; dengue; west nile virus; aedes albopictus; aedes</td></tr></table>"""	-0.6097	-0.2141	2	436129	32738	241	123	332	5639	137	2013.8851	0.0589	0.3705	0.7259	0.4127
54	54	"""<table><tr><td>Micro-level field:</td><td>54</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; proceedings of spie; ieee international conference on image processing icip; pattern recognition; international conference on pattern recognition</td></tr><tr><td>Terms:</td><td>facial expression recognition; face detection; dimensionality reduction; robust face recognition; face alignment</td></tr></table>"""	0.636	0.4494	5	354693	32694	0	0	0	4389	0	2012.4348	0	0	0	0
55	55	"""<table><tr><td>Micro-level field:</td><td>55</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physica c-superconductivity and its applications; physical review b; superconductor science & technology; ieee transactions on applied superconductivity; journal of superconductivity and novel magnetism</td></tr><tr><td>Terms:</td><td>coated conductor; ybco film; melt; intrinsic josephson junction; ag tape</td></tr></table>"""	0.8342	-0.539	3	130406	32656	0	0	0	1488	0	2007.1248	0	0	0	0
56	56	"""<table><tr><td>Micro-level field:</td><td>56</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of membrane science; desalination; desalination and water treatment; separation and purification technology; water research</td></tr><tr><td>Terms:</td><td>ultrafiltration; membrane distillation; membrane fouling; osmosis; nanofiltration membrane</td></tr></table>"""	0.4251	-0.4724	3	586381	32241	0	0	2	4838	2	2013.9339	0.0004	0	0	1
57	57	"""<table><tr><td>Micro-level field:</td><td>57</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal for immunotherapy of cancer; clinical cancer research; frontiers in oncology; oncoimmunology; cancers</td></tr><tr><td>Terms:</td><td>immune checkpoint inhibitor; pd l1 expression; pd l1; braf; pembrolizumab</td></tr></table>"""	-0.8862	-0.2135	2	1414498	32211	3	6	13	6486	8	2017.9527	0.002	0.4615	0.2308	0.6154
